Mã số,Tên,Cơ quan ban hành,Cơ quan thực hiện,Lĩnh vực,URL
1.001121,"Thủ tục đăng ký nhận cha, mẹ, con giữa các công dân Việt Nam tạm trú ở nước ngoài với nhau",Bộ Ngoại giao,,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-e9f6-75df-b941-0b375e40850e
1.001020,Thủ tục đăng ký khai sinh cho trẻ em sinh ra ở nước ngoài và có quốc tịch Việt Nam,Bộ Ngoại giao,,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-e9ed-7699-8e8f-77f37e22b6d2
1.000881,"Thủ tục đăng ký việc thay đổi, cải chính, bổ sung hộ tịch, xác định lại dân tộc, xác định lại giới tính, điều chỉnh hộ tịch",Bộ Ngoại giao,,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-e9df-764c-b5ed-6b5352eb2f27
1.000797,Thủ tục cấp bản sao trích lục giấy tờ hộ tịch,Bộ Ngoại giao,Cơ quan đại diện Việt Nam ở nước ngoài; Cơ quan đại diện Việt Nam ở nước ngoài,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-e9cc-722d-94fd-1ceeb4d52ea5
1.000808,Thủ tục đăng ký việc nhận nuôi con nuôi giữa người nhận nuôi là công dân Việt Nam tạm trú ở nước ngoài với trẻ em được nhận nuôi là công dân Việt Nam tạm trú ở nước ngoài,Bộ Ngoại giao,Cơ quan đại diện Việt Nam ở nước ngoài; Cơ quan đại diện Việt Nam ở nước ngoài,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-e9cc-71bb-bce1-c01b68788909
1.000736,Thủ tục ghi vào sổ hộ tịch việc kết hôn của công dân Việt Nam đã được giải quyết tại cơ quan có thẩm quyền của nước ngoài,Bộ Ngoại giao,,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-e9cb-74a6-92b0-91e4bd5a1698
1.000578,Thủ tục cấp bản sao trích lục giấy tờ hộ tịch tại Bộ Ngoại giao,Bộ Ngoại giao,Cục Lãnh sự - Bộ Ngoại giao,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-e9bc-736e-b7b3-475f13c70b92
2.001159,Thông báo lưu trú,Bộ Công an,Công an cấp Xã,"Đăng ký, quản lý cư trú",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-adb7-7329-8d7c-db89ef073ced
1.013314,"Xác nhận về điều kiện diện tích bình quân nhà ở để đăng ký thường trú vào chỗ ở do thuê, mượn, ở nhờ; nhà ở, đất ở không có tranh chấp quyền sở hữu nhà ở, quyền sử dụng đất ở, không thuộc địa điểm không được đăng ký thường trú mới",Bộ Công an,Ủy ban nhân dân cấp xã,"Đăng ký, quản lý cư trú",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-9660-707e-97b1-ef8876f54d3b
1.013313,"Xác nhận nơi thường xuyên đậu, đỗ; sử dụng phương tiện vào mục đích để ở",Bộ Công an,Ủy ban nhân dân cấp xã,"Đăng ký, quản lý cư trú",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-963d-77b5-a955-62296d0272fc
1.010038,Tách hộ,Bộ Công an,Công an cấp Xã,"Đăng ký, quản lý cư trú",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-7f1e-71e3-be3e-7f22dce4ac4d
1.010041,Xác nhận thông tin về cư trú,Bộ Công an,Công an cấp Xã,"Đăng ký, quản lý cư trú",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-7f19-762d-be5e-741f71796016
1.010028,Xóa đăng ký tạm trú,Bộ Công an,Công an cấp Xã,"Đăng ký, quản lý cư trú",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-7f06-7316-a1c8-3255e08fe2f5
1.010039,Điều chỉnh thông tin về cư trú trong Cơ sở dữ liệu về cư trú,Bộ Công an,Công an cấp Xã,"Đăng ký, quản lý cư trú",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-7efc-770c-b60b-dcb21433cea1
1.010040,"Khai báo thông tin về cư trú đối với người chưa đủ điều kiện đăng ký thường trú, đăng ký tạm trú",Bộ Công an,Công an cấp Xã,"Đăng ký, quản lý cư trú",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-7efc-7491-9ac8-527fe53522e4
1.004194,Đăng ký tạm trú,Bộ Công an,Công an cấp Xã,"Đăng ký, quản lý cư trú",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-770b-734d-b7fb-5e1995f194f4
1.004222,Đăng ký thường trú,Bộ Công an,Công an cấp Xã,"Đăng ký, quản lý cư trú",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-7704-7449-9e95-fe7ebb959aa2
1.003677,Khai báo tạm vắng,Bộ Công an,Công an cấp Xã,"Đăng ký, quản lý cư trú",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-6f56-704f-95b8-8d949272c6ad
1.003197,Xóa đăng ký thường trú,Bộ Công an,Công an cấp Xã,"Đăng ký, quản lý cư trú",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-6f18-72e5-974d-ed6803c7178a
1.002755,Gia hạn tạm trú,Bộ Công an,Công an cấp Xã,"Đăng ký, quản lý cư trú",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-6762-77ee-9a0c-965773ce7afe
