persona,group_key,procedure_code,procedure_title,workflow_family,support_level,raw_data_available,in_full_data,in_workflow_dataset,official_membership,expanded_membership,membership_source,field,source_url,notes
citizen,dien_luc_nha_o_dat_dai,1.014514,"Cấp giấy phép đối với hoạt động xây dựng công trình quốc phòng, an ninh, công trình giao thông (trừ trường hợp cấp phép cho hoạt động bến thủy nội địa), thủy lợi, công trình ngầm phục vụ phát triển kinh tế - xã hội, hệ thống giếng khai thác nước ngầm, trạm bơm, âu thuyền.",,raw_only,true,true,false,false,true,expanded,"Quản lý Đê điều và Phòng, chống thiên tai",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019daace-b67b-741b-b253-4f5c0197a66a,title:xay dung
citizen,dien_luc_nha_o_dat_dai,1.014515,Cấp giấy phép đối với hoạt động xây dựng công trình theo dự án đầu tư do Thủ tướng Chính phủ phê duyệt theo quy định tại khoản 4 Điều 26 của Luật Đê điều ngày 29 tháng 11 năm 2006,,raw_only,true,true,false,false,true,expanded,"Quản lý Đê điều và Phòng, chống thiên tai",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019daad0-7e3c-7458-8465-79c8f63e4622,title:xay dung
citizen,dien_luc_nha_o_dat_dai,1.014495,"Cấp giấy phép đối với hoạt động xây dựng cống qua đê; xây dựng công trình đặc biệt trong phạm vi bảo vệ đê điều, bãi sông, lòng sông",,raw_only,true,true,false,false,true,expanded,"Quản lý Đê điều và Phòng, chống thiên tai",https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019daac5-e432-71cc-b71d-b38c0f09ad88,title:xay dung
citizen,dien_luc_nha_o_dat_dai,1.012786,Cấp lại Giấy chứng nhận do bị mất,,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfa-76c7-75db-b936-ff88fe49d880,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115203,Cấp lại Giấy chứng nhận do bị mất,,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019eee88-7201-7665-9406-a31121152b33,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115350,Cấp lại Giấy chứng nhận do bị mất,,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f12d0-0480-77dd-af67-1d9874197f5b,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115465,Cấp lại Giấy chứng nhận do bị mất,,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f12ab-b75f-749c-a476-a987bee58f48,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115493,Cấp lại Giấy chứng nhận do bị mất,,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f1771-3a00-757b-8893-60633ed2cc85,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115557,Cấp lại Giấy chứng nhận do bị mất,,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f2202-879c-7798-a85f-dc5e276efcf0,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115615,Cấp lại Giấy chứng nhận do bị mất,,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f56ff-0a61-7619-be35-e21406b9a7d2,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115621,Cấp lại Giấy chứng nhận do bị mất,,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f5930-4e43-70c8-a9f4-ec8b791d78dc,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115663,Cấp lại Giấy chứng nhận do bị mất,,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f45cd-7bc5-708e-97bf-5a3902edb6b1,field:Đất đai
